Gene_ID,MCF7_ROSA26.KO_DMSO_rep1,MCF7_ROSA26.KO_DMSO_rep2,MCF7_ROSA26.KO_C70_rep1,MCF7_ROSA26.KO_C70_rep2,MCF7_ZBTB7A.KO_DMSO_rep1,MCF7_ZBTB7A.KO_DMSO_rep2,MCF7_ZBTB7A.KO_C70_rep1,MCF7_ZBTB7A.KO_C70_rep2
PRDM4,15.4566,9.82638,15.1976,12.2658,10.6836,8.74165,9.21755,8.49108
OR5R1,0,0,0,0,0,0,0,0
MTX2,39.7239,33.4637,40.7393,34.0271,35.6083,32.9877,33.4907,30.504
GZMH,0,0,0,0,0,0,0,0
HAND2,0,0,0,0,0,0,0.0135639,0.0136433
ZCCHC2,6.6974,5.45927,5.88076,5.42743,5.44428,5.10536,5.89588,5.24002
C10orf131,0.0284058,0.158026,0,0.134556,0.166853,0.0820786,0.110134,0.0732229
HOXC9,0.176198,0.346015,0.266471,0.235319,0.24134,0.356622,0.141956,0.34086
MTRR,9.78337,7.40033,10.9485,8.57455,10.1157,8.77544,8.45938,7.73249
TUBB4A,0.56756,0.500735,0.416267,0.483372,1.23624,1.54932,3.30878,1.12979
REST,6.75512,4.63602,5.92937,4.67318,5.75517,5.22842,5.10337,4.37736
MANBAL,36.2225,27.8147,30.9262,25.5793,30.2381,30.5992,24.5911,21.4829
SMARCC1,15.493,15.8554,15.5961,15.8972,15.9597,16.2347,17.2313,16.6235
HES3,0,0,0,0,0,0,0,0
MOCS1,3.80613,3.10482,2.79074,2.06912,3.35958,3.44665,2.26362,2.44017
DLEC1,0.263397,0.253163,0.202026,0.289442,0.321986,0.320879,0.342664,0.290839
OR5B2,0,0,0,0,0,0,0,0
PTPRO,0.0148787,0.0155711,0,0,0,0,0,0
CLASP1,6.99795,7.89458,7.50349,7.87036,7.35298,5.62147,7.3252,6.69312
B3GNT3,5.04842,2.58629,3.28199,3.0436,2.68134,2.75629,2.71977,2.20289
SYCE2,2.58487,1.4748,6.59735,5.30522,4.3185,4.20808,5.76121,5.91082
COL6A5,0,0,0,0,0,0,0,0
RP4-576H24.4,0,0,0,0,0,0,0,0
PHF10,14.043,22.4127,17.8704,21.6906,20.1891,21.3366,21.6883,22.9719
PRDX4,96.6526,93.3973,96.5014,91.9202,94.2715,84.589,94.4709,83.9493
CYP2E1,0.278946,0.0810812,0.0883009,0.151621,0.212218,0.250524,0.265571,0.0930643
SNX5,48.15,52.5739,49.0776,49.1,46.3341,48.6952,40.7456,41.0586
PEX6,2.15127,2.10952,2.36282,1.90007,1.94432,1.86614,1.43447,1.46301
PPM1D,53.0832,41.7999,49.4225,42.4539,40.0674,37.2991,34.6477,32.1582
SVOPL,0.115933,0.0956665,0.120384,0.141711,0.123011,0.10427,0.0587335,0.149474
FNBP1L,9.61244,11.4394,9.83652,10.9025,11.8008,11.9098,11.2015,9.06987
ICOS,0,0,0,0,0,0,0,0
GPC3,0.27866,0.858641,0.348712,0.839568,1.15819,2.04465,2.50934,0.755318
FAM134B,1.90635,1.33664,2.038,1.94621,2.13141,2.05634,3.31154,2.85023
DHPS,86.8811,89.8655,96.4755,93.3508,70.666,71.6883,76.2234,72.1118
NIPSNAP3B,0.0182041,0.0571724,0.110202,0.151496,0.239488,0.122352,0.117166,0.0234844
GPSM3,0.248437,0.0959358,0.323212,0.434885,0.594926,0.479508,0.963037,1.01936
