Gene_ID,MDAMB436_ROSA26.KO_DMSO_rep1,MDAMB436_ROSA26.KO_DMSO_rep2,MDAMB436_ROSA26.KO_C70_rep1,MDAMB436_ROSA26.KO_C70_rep2,MDAMB436_ZBTB7A.KO_DMSO_rep1,MDAMB436_ZBTB7A.KO_DMSO_rep2,MDAMB436_ZBTB7A.KO_C70_rep1,MDAMB436_ZBTB7A.KO_C70_rep2
CACHD1,4.0051,4.30727,2.8692,3.08533,3.58473,3.47315,3.08457,2.84785
C5orf22,12.3007,14.3517,17.0366,14.8868,13.5442,13.4604,15.411,14.1866
KLHL31,0.0149605,0.0554589,0.0288191,0.0174035,0,0,0,0.0284543
BRIP1,2.96995,2.62336,3.66916,2.96992,2.40935,2.60184,3.05352,3.37551
NUP54,20.1463,17.151,20.6967,17.2198,18.5131,17.0589,20.9032,18.6688
MUM1L1,0.212408,0.115522,0.116153,0.134799,0.156842,0.089287,0.229166,0.166699
RP11-73M18.2,7.54079,6.55292,6.66231,5.55555,7.41675,5.73789,4.41019,7.0469
RP11-817J15.3,0,0,0,0.239023,0,0,0,0
SF3B2,157.699,151.071,157.277,152.343,161.224,157.393,150.901,153.935
ZNF148,8.46915,7.39293,9.14406,7.00286,11.2302,9.97222,5.78488,9.56747
ZNFX1,8.18426,8.76493,10.9757,11.7233,9.82106,8.92976,11.1128,11.7015
KRTAP9-6,0,0,0,0,0,0,0,0
CXorf30,0,0,0,0.0189405,0.0176075,0,0,0
AC004817.1,0,0,0,0,0,0,0,0
CDHR1,0.0516627,0.0868702,0.0394302,0.079396,0.0523625,0.0219876,0.100379,0.018987
EIF2AK2,34.8015,35.5861,44.7957,39.2456,49.8082,39.8852,54.5712,50.6449
FAM47C,0.0272571,0,0,0,0,0,0.0158403,0
TRIM10,0.030339,0,0,0,0,0,0,0
AC007377.1,0,0,0,0,0,0,0,0
ADCK2,11.1025,11.6424,10.7097,10.0106,9.27751,10.6354,10.5989,9.87741
PRSS8,0.556364,0.278174,0.425722,0.305448,0.536052,0.482522,0.492279,0.298308
CTC-512J12.6,1.92E-40,3.36E-105,5.52E-108,4.81E-126,0.0414975,0,0.0187448,1.10073
ZNF621,3.28873,3.07577,2.89358,3.25168,3.27931,2.89122,3.24175,3.55037
TMEM72,0,0,0,0,0,0,0,0
SH3GL3,0.311003,0.120383,0.0787164,0.158021,0.123047,0.156416,0.100026,0.352356
TCF7L1,2.90974,2.99138,3.1449,2.65893,3.28411,4.03795,3.99009,3.82025
MPDU1,89.8869,82.8188,113.961,95.7073,92.8574,100.348,99.3387,102.263
NOSTRIN,0.0414522,0.0401076,0.0238382,0.042394,0,0.0840942,0.0240772,0.08316
GAB4,0,0,0.0203558,0,0,0,0.0205383,0
C12orf54,0,0,0,0,0,0,0,0
AP000867.1,0,0,0,0,0,0,0,0
KRT39,0,0,0,0,0,0,0,0
IBA57-AS1,0.313314,0,0,0,0,0,0,0
CCDC101,9.19982,9.58086,11.045,8.95832,10.6242,10.1604,11.5488,11.1188
GDF5,4.4189,4.40797,3.7858,3.18627,5.81774,5.57826,2.94736,3.19438
GEMIN8,2.01566,2.73985,1.19146,2.4469,2.23719,3.1095,1.0341,2.28949
NUDCD1,13.665,12.8799,14.7657,14.667,13.8482,14.7048,15.3817,14.1003
SOX6,0.1292,0.122393,0.0218012,0.0496707,0.0258043,0.0326813,0.0332749,0.098047
NBPF9,15.6333,15.3805,15.4647,16.5312,14.1197,13.5975,14.2579,13.4075
HIF3A,0.165794,0.0561265,0.130944,0.12312,0.177233,0.167517,0.0911652,0.329012
FYTTD1,12.5987,12.5049,8.41655,12.1511,11.1386,9.58102,8.51805,9.98595
TOMM5,192.444,189.789,220.624,215.554,187.618,178.684,196.801,184.581
VIPR2,2.35631,1.80714,7.24754,6.5296,3.59419,3.53476,7.33199,7.52765
KRT37,0,0,0,0,0,0,0,0
RGPD4,0.197312,0.246952,0.188809,0.17609,0.185356,0.171159,0.187675,0.156939
FARSA,129.816,108.907,146.073,131.229,143.386,113.335,130.245,140.222
CHST10,8.97995,10.3074,9.99882,9.57348,8.77067,9.59687,8.06008,8.48723
GPR107,17.9674,18.9612,17.4792,18.6012,18.1742,17.3357,18.5428,18.3663
CDC42BPB,22.744,22.2234,21.0937,21.648,23.7851,24.1607,21.3758,21.8453
COL4A3BP,14.0267,16.0078,16.0664,15.9346,15.2062,15.9613,15.7096,16.0164
KANK2,30.1542,25.0022,24.9149,26.2777,28.395,31.124,30.054,26.0241
DCTD,45.2148,47.2267,34.7659,43.9505,39.5644,44.5524,38.2279,36.898
GPR110,0.170121,0.173732,0.354414,0.441015,0.296021,0.406322,0.307147,0.257501
MITD1,26.8548,26.1418,30.1552,30.2472,24.3829,24.4133,31.2095,30.7366
GCG,0.0432041,0,0,0,0.046027,0,0.103183,0
LCAT,2.22743,1.21475,1.86467,3.32098,2.30317,2.23777,4.01844,3.39508
PARVA,14.8197,11.3819,10.7559,9.25769,12.8738,12.0459,11.0582,10.4022
TP53TG5,0.114622,0.0619384,0,0,0,0.0650028,0.0665037,0.12862
ALPP,0,0.0167864,0.0177265,0.0534748,0.0662704,0.210436,0.178724,0.17345
AC008060.7,0,0,0,0,0,0,0,0
ECD,33.8871,32.3406,38.5885,35.0363,34.0973,34.2959,39.3487,34.467
NPIPA1,14.7378,10.9312,11.3384,13.1172,12.8539,12.7701,13.0827,13.3533
LILRA1,0,0,0,0,0,0,0,0
GOSR1,15.9969,14.2466,17.631,13.978,17.7519,16.9146,16.1156,15.8569
BZW2,24.3691,24.5136,32.0633,27.2311,26.9934,25.1115,29.0315,31.5056
FARP2,7.40918,8.68118,8.6151,7.91942,8.62118,8.82013,9.6892,9.38977
SLC2A13,1.30983,1.23118,1.16407,1.89469,1.2623,1.30532,1.85577,2.03202
RUFY4,0.0306856,0.0364947,0.0192663,0.0405191,0,0.0174964,0.0178316,0.0197255
ACAP2,6.35511,5.59414,5.18218,7.01543,6.44848,5.48634,5.28497,5.41485
ZNF880,4.56762,2.52278,2.78828,3.34192,4.56113,4.08487,4.57643,4.21599
EIF1AD,38.7181,38.8656,36.8435,33.6698,36.3302,34.0217,37.111,38.3038
DMKN,52.5455,43.2413,66.952,67.0251,41.1761,46.7374,56.4058,58.5199
MRPS28,59.0162,46.1108,51.2373,38.6529,43.0496,37.7784,37.7137,57.5413
NECAP1,16.8595,17.2169,16.1594,15.0146,15.7019,15.5233,16.2224,15.862
AL353354.1,0,0,0,0,0,0,0,0
HSPA9,164.096,157.141,176.828,178.938,161.666,162.498,173.467,168.974
HNRNPH1,357.905,345.711,351.05,355.95,368.352,307.784,328.225,319.561
