Gene_ID,SUM149_DMSO_day2_rep1,SUM149_DMSO_day2_rep2,SUM149_DMSO_day2_rep3,SUM149_C70_day2_rep2,SUM149_C70_day2_rep3,SUM149_DMSO_day7_rep1,SUM149_DMSO_day7_rep2,SUM149_DMSO_day7_rep3,SUM149_C70_day7_rep1,SUM149_C70_day7_rep2,SUM149_C70_day7_rep3,SUM149CR_DMSO_day2_rep1,SUM149CR_DMSO_day2_rep2,SUM149CR_DMSO_day2_rep3,SUM149CR_C70_day2_rep1,SUM149CR_C70_day2_rep2,SUM149CR_C70_day2_rep3,SUM149CR_DMSO_day7_rep1,SUM149CR_DMSO_day7_rep2,SUM149CR_DMSO_day7_rep3,SUM149CR_C70_day7_rep1,SUM149CR_C70_day7_rep2,SUM149CR_C70_day7_rep3
ERMP1,27.7494,27.0232,34.5238,23.3414,28.5196,34.1979,33.0988,33.7098,27.0149,28.1771,24.9884,29.9735,29.2103,31.976,26.9904,25.6785,33.1186,42.158,35.8718,37.5526,28.0553,28.743,33.9856
ZHX2,4.45817,4.16137,4.80411,5.28449,6.17799,4.6289,5.48371,4.30237,5.44911,7.05466,5.70658,4.1008,3.28081,4.29223,4.20351,4.28357,5.55694,3.55259,4.14203,3.29231,4.10762,4.73808,4.13527
CPEB1,0,0,0,0,0.00897289,0,0,0,0,0,0.00895955,0,0,0,0,0,0,0,0,0,0.00637965,0,0
SEPSECS,2.37782,2.38124,3.03061,1.89601,2.28063,2.90023,3.09671,2.83961,2.07989,1.89487,2.40448,2.49116,2.53038,2.71396,2.01437,1.71286,2.25827,2.95479,2.41661,2.53226,2.02239,1.84829,1.9979
OR4F21,0,0.00789951,0,0,0.0398617,0,0,0,0,0,0,0,0,0.00905745,0.0087542,0,0,0,0.00588003,0,0.00709044,0,0
NLGN4X,0.0468483,0.0689967,0.0620297,0.0428678,0.0495407,0.045481,0.0690747,0.0584334,0.0465263,0.0531758,0.0923311,0.193693,0.304472,0.189177,0.278268,0.215049,0.261703,0.329734,0.219228,0.288601,0.34734,0.196338,0.334274
TCTN3,12.84,12.9103,14.1055,12.0567,13.2696,12.7435,12.2058,13.2081,11.8661,10.7466,10.4258,14.3053,14.3187,11.6284,12.684,13.2908,13.406,16.0045,14.6203,14.2222,12.7715,12.4221,14.0699
AP1S2,8.92461,8.84118,8.5666,9.53814,7.89138,9.48205,8.87819,8.08891,7.7376,7.63487,6.16515,8.15782,6.19393,5.27267,7.2824,6.73512,7.12193,6.38551,6.11436,6.07217,5.85527,6.53427,5.82757
ZNF841,2.97627,3.13408,3.08498,2.55831,1.97008,2.82521,3.17114,2.97693,2.78749,3.22136,3.86219,2.55484,2.07556,2.55083,2.78457,1.80885,2.36124,2.4853,2.85422,4.06877,1.9483,2.60666,1.98598
SSH2,6.98194,7.96465,9.86904,6.87469,8.51911,8.49964,7.78486,7.00834,8.25439,9.47459,7.94508,7.59898,7.00997,8.16248,7.9311,6.50976,7.89465,6.22603,7.36245,8.24022,7.70334,7.77294,11.6445
ARHGEF35,6.57216,7.13901,7.59511,7.34134,6.90884,7.22219,8.51914,7.62016,7.65768,9.17221,8.37593,7.29652,7.38742,9.23376,7.86157,7.56189,10.5674,6.81187,8.79122,8.23758,7.24907,8.95465,9.1136
DHCR24,181.81,197.868,191.845,214.745,205.459,195.681,186.576,214.715,212.597,191.788,197.053,202.137,205.161,180.541,200.78,202.745,188.962,220.943,197.348,205.149,209.91,188.131,230.353
RBM19,8.16906,7.86226,8.16755,8.68829,8.72969,6.11096,8.31314,5.66745,6.56416,9.30165,7.12464,7.68376,7.60168,8.25066,7.27815,7.40468,8.17265,5.72943,8.76451,7.10826,6.76423,8.98042,7.03076
YME1L1,31.9872,32.2272,32.3365,33.4748,28.451,34.4966,37.939,31.4587,34.9038,40.5107,32.939,31.4399,33.9043,33.1784,30.4051,35.7461,39.3566,32.1594,33.4,31.181,32.5204,32.1378,37.6228
EIF3E,216.571,211.071,203.336,232.782,175.323,225.826,192.588,220.393,214.046,194.775,200.357,238.014,226.168,179.824,237.429,267.526,230.499,297.015,210.808,228.791,236.994,195.583,254.557
DAD1,73.0401,73.8536,66.3482,72.2236,68.7062,74.3493,64.2671,74.329,62.7336,62.6622,59.6612,72.643,73.3859,60.6685,71.5142,65.9535,63.4117,83.8548,65.8206,70.6376,71.6084,57.9031,79.9352
PAN2,7.01157,5.78569,6.60293,4.25035,5.05677,7.26602,5.85521,7.36801,5.55989,4.8035,5.51295,7.77514,6.74635,7.28331,7.36487,4.81451,4.34102,10.4601,7.56788,9.03515,6.73536,8.17227,4.76553
FAM73B,7.52381,7.21213,6.28621,6.103,6.50791,5.76336,6.10986,7.04348,5.08864,5.18096,5.84127,7.03199,6.73219,6.43711,7.11717,5.0362,4.7341,7.31088,6.36441,6.52837,6.64309,6.68332,5.75897
NKX2-1,0,0.0399982,0.0216734,0,0,0,0,0,0.0108912,0.0294074,0,0,0,0,0,0,0,0,0.0149484,0.0134775,0,0,0.0184219
ECHDC1,45.3294,48.7795,51.2629,53.3175,46.4812,56.3301,51.5212,52.5971,54.0154,53.901,50.6735,54.7177,53.4855,47.9955,49.5567,58.1126,57.2773,64.3691,52.1248,54.3924,51.1677,50.297,60.8848
SCAMP5,1.93481,2.10369,2.50863,2.31997,2.68286,2.00921,1.93982,2.50858,2.36795,2.39808,2.68912,2.10205,2.10242,2.39729,2.16558,2.75918,2.66195,2.91612,2.2762,2.44889,2.71823,2.72133,3.88611
TTLL8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCMH1,8.11717,8.90237,10.3346,8.78719,11.3233,9.22731,8.727,9.96333,8.55351,7.69479,7.99567,8.58038,9.84655,9.57667,9.16479,8.93275,9.99098,9.76614,9.67853,10.0628,10.1241,10.0848,9.79207
MYO9A,2.39791,2.36154,2.37575,2.58345,1.77654,3.2147,2.48573,2.60069,2.41141,2.23634,1.82265,2.31473,3.00321,2.52289,2.24488,2.51097,2.96655,2.88263,3.36717,2.51533,2.07851,2.14737,2.79316
HBA2,2.42527,2.39795,2.06577,3.64606,3.9147,1.76492,2.79039,2.07415,4.12226,5.55319,3.2134,8.76048,8.09376,9.88684,12.1442,10.4851,10.7851,4.45581,7.86749,4.24521,10.1061,11.1424,9.03674
CCBL2,12.7365,12.9805,13.9412,14.5772,12.502,15.83,12.3738,16.1071,14.9973,12.9556,13.0806,14.2336,13.1835,11.1374,13.9842,14.0018,14.6786,15.8369,11.602,15.1359,13.2249,10.6246,16.9535
TMEM248,49.734,52.8333,53.7507,58.5696,56.6165,48.1714,61.1488,58.5177,53.2419,58.7869,58.2982,54.2996,51.4781,46.4791,48.9172,52.9643,55.7314,50.8032,53.7867,54.3048,53.1972,54.7321,57.0911
PRR11,45.2226,40.9189,49.3594,49.1377,44.4656,46.3362,48.4115,50.5605,46.7766,46.0412,47.0226,45.5375,41.5908,42.2618,45.2548,49.4555,58.5384,43.5658,53.8603,52.6818,45.7589,46.8541,54.0398
RGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSMD1,0,0,0,0,0,0,0,0,0,0,0.00273863,0,0,0,0,0,0,0,0,0,0,0,0
ATCAY,0,0,0.0188077,0.00479616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAK,17.8917,18.6583,21.5353,19.5773,35.6076,17.0542,19.799,18.9863,17.524,22.8784,17.0927,17.4982,18.1677,19.9657,17.6964,15.6511,19.7777,18.7019,20.3041,17.8917,17.2733,21.6308,19.9512
APOL4,0,0,0,0.00778837,0,0,0,0,0,0,0,0,0,0,0,0,0.0489138,0.016012,0,0.00875627,0,0,0.0192749
RNF20,17.627,17.6688,19.8235,16.0002,15.6566,17.1052,20.452,17.6692,15.0767,21.584,17.8567,16.2511,16.722,18.0709,16.7129,18.5439,19.6541,17.0066,19.2182,15.1855,14.4053,14.4734,16.0457
LSM4,125.82,132.443,134.089,146.132,177.808,112.23,121.899,136.776,119.064,124.756,114.727,137.438,143.15,122.215,135.879,124.759,129.295,143.085,140.265,132.087,134.413,142.268,147.359
LST3,9.70E-09,3.77E-09,0,5.26E-08,5.71E-08,0,0,0,3.18E-08,0,5.14E-08,0,0,0,0,0,0,0,0,0,0,0,0
FKBP1B,0.287953,0.380865,0.591171,0.294233,0.45654,0.283506,0.280759,0.337704,0.195098,0.271568,0.171191,0.307263,0.464263,0.230743,0.397343,0.393986,0.256152,0.460177,0.48631,0.294362,0.588748,0.393667,0.539411
TLR6,1.01398,0.923975,0.903711,1.41027,0.893441,1.42158,0.964057,1.36829,2.54711,1.90743,2.74115,1.16442,1.03987,0.882905,1.38166,1.65748,1.49597,1.55427,0.934791,1.33916,1.65756,1.79022,1.98684
PRKAA2,2.48468,2.00805,3.09385,1.70582,2.65594,3.11725,2.78883,2.32165,2.04464,2.01454,1.65137,2.06586,1.86192,2.23733,2.01576,1.81124,2.58845,2.63742,2.5237,2.24084,2.17522,1.96319,1.91663
SRD5A1,3.84025,4.28397,4.24907,4.39318,5.32025,3.46367,4.71862,3.73718,4.00624,4.4905,3.97555,3.90429,3.97325,3.66963,3.63752,3.48422,4.2361,3.07647,3.48313,4.05664,3.1723,3.88225,4.07379
PHF7,0.362136,0.481403,0.586634,0.383554,0.658963,0.476215,0.613122,0.73212,0.492252,0.699079,0.705663,0.678025,0.671582,0.635568,0.575919,0.730696,0.766477,0.431796,0.826762,0.797332,0.654783,0.881264,0.683099
HOXB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTBL2,0.190345,0.455527,0.245665,0.228251,0.231897,0.311177,0.231125,0.192138,0.240511,0.194613,0.127484,0.136632,0.132314,0.0833661,0.0504445,0.179686,0.0981261,0.0562835,0.109384,0.102586,0.0577104,0.072064,0.0828164
CD8A,0.531878,0.375769,0.727618,0.930287,1.15342,0.628881,0.666755,0.922124,1.1332,1.2238,1.33793,1.01889,1.1399,1.06346,1.40708,1.3579,1.59227,1.17545,0.956635,0.877452,1.61651,1.75803,1.88055
GNA12,14.6701,15.6214,18.1567,17.2277,19.2119,14.1445,18.2887,16.8689,17.0197,18.5449,14.3308,14.8923,14.4159,16.7485,15.632,15.0561,17.7887,14.5576,17.0501,14.8839,14.8527,16.3263,16.1266
FAM169B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
