Gene_ID,SUM149_KDM5A.KO_C70_rep1,SUM149_KDM5A.KO_C70_rep2,SUM149_KDM5A.KO_DMSO_rep1,SUM149_KDM5A.KO_DMSO_rep2,SUM149_KDM5B.KO_C70_rep1,SUM149_KDM5B.KO_C70_rep2,SUM149_KDM5B.KO_DMSO_rep1,SUM149_KDM5B.KO_DMSO_rep2,SUM149_ROSA26.KO_C70_rep1,SUM149_ROSA26.KO_C70_rep2,SUM149_ROSA26.KO_DMSO_rep1,SUM149_ROSA26.KO_DMSO_rep2,SUM149_ZBTB7A.KO_C70_rep1,SUM149_ZBTB7A.KO_C70_rep2,SUM149_ZBTB7A.KO_DMSO_rep1,SUM149_ZBTB7A.KO_DMSO_rep2
FITM1,0.0477957,0.057157,0,0,3.01E-25,0,0,0,0.0547936,0,0.0363843,0,0,0,0,0.0624366
RHOF,31.1208,33.9769,37.3942,27.0463,30.1404,30.9734,34.2893,32.8107,30.2034,29.3989,32.1958,29.7522,25.9748,30,29.8476,29.9952
CYP17A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLEC1,0.0100807,0.00869308,0.0127278,0,0.0114214,0.00573361,0.0132325,0.0244799,0.0057457,0.0178264,0.0165767,0.00489661,0.00587774,0.0319302,0,0.00544886
NCAN,0.0129175,0.0131335,0.0168971,0.00819912,0.0302352,0,0,0,0.0385517,0.121131,0.0291651,0.0129857,0.0100427,0.0423399,0.00496168,0
TLCD2,0.177629,0.182332,0.106889,0.139523,0.0631029,0.526976,0.391722,0.153343,0.365949,0.298711,0.325144,0.204524,0.124708,0.537361,0.331062,0.346395
PDGFB,2.954,2.97041,1.92052,1.86072,2.98141,2.56371,2.17006,2.09309,3.06529,3.08756,2.64362,2.17568,4.22742,4.34841,2.85598,2.79651
METTL17,21.8118,22.4196,26.8663,24.2629,18.7648,20.3524,22.3082,22.0398,19.1407,19.1984,20.2882,21.1901,17.2899,18.6137,20.16,20.1536
BBS12,0.829016,0.960276,1.10391,1.21471,0.894537,0.87553,1.18988,1.09864,0.643747,0.674666,0.8445,0.737593,0.905694,0.945371,1.07914,1.24933
RARG,22.9926,26.3096,34.8221,28.3522,21.409,20.4599,35.0877,32.6987,19.2693,20.429,29.7077,30.932,18.4374,19.3066,32.8358,31.7514
WDR77,34.8564,36.5711,35.757,30.5475,35.4038,38.1321,35.0394,34.3699,35.3684,35.2907,33.6604,33.9768,35.0216,38.7562,35.5346,36.1025
MED12L,0.287675,0.386649,0.633764,0.647596,0.380864,0.327274,0.511651,0.376022,0.441197,0.401733,0.572461,0.370669,0.778021,0.862411,1.19744,0.945782
ABI1,13.6082,15.3784,12.1899,15.9047,14.3572,15.8906,12.5011,12.6666,14.3742,13.8063,12.453,12.4145,13.3647,14.8319,11.7667,12.6797
TTC7B,0.929559,0.97913,1.55846,1.41173,0.977105,1.08148,1.72345,1.54411,1.59446,1.31397,1.99635,2.09789,1.57357,1.80675,2.79032,2.55587
C10orf131,0.0265908,0.054431,0.119625,0.0517569,0.141786,0.0715917,0,0.0381968,0.060797,0.03717,0.103938,0.0611315,0.155433,0.0667832,0.531072,0.170929
TNFRSF25,0.177095,0.10013,0.160198,0.11843,0.156427,0.415243,0.23469,0.0922338,0.197107,0.160475,0.143965,0.118183,0.518466,0.695192,0.584939,0.207567
CA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
